Comment,label,POSITIVE,NEGATIVE
"Call them Goyim and say Jews are the master race, that's a big one.",2,0.9562553763389587,0.04374462366104126
"For me, anything that is figure-hugging is very sexy. Being able to see the shape and outline of boobs and the va-jay-jay is really attractive ... and I'm not specifically talking about /r/cameltoe here, but anything that's flush with the body's shape is really sexy.",2,0.9997864365577698,0.0002135634422302246
"If you CANT wait, I suggest flushing as you poop so they can?t hear it. You may just have some water splash up, but if it?s an emergency or not a strong toilet where it won?t splash, it helps a lot.",2,0.8810270428657532,0.11897295713424683
The nuke scene is so badass. Like at that point they completely lost control so they resort to dropping a nuke on a tiny Iowan town lol.,2,0.0003840923309326172,0.9996159076690674
jolene is such a slapper,2,0.03620427846908569,0.9637957215309143
Jews eat foreskin*,2,0.6722311973571777,0.32776880264282227
My dog hates asians after he escaped from a chinese food place,2,0.004523932933807373,0.9954760670661926
"Now I just want to exclusively see photos/videos of babies farting. Nothing else, just the farts. Because THAT I can handle.",2,0.012556850910186768,0.9874431490898132
Screw being Vegan pop 89 joebees a day and you will live till your 98 unlike my fatass dead brother in law,2,0.978325366973877,0.021674633026123047
"Stop with the schemes, kike.  You're not fooling anyone.",2,0.9963929057121277,0.0036070942878723145
"Also Joe Rogan swallows dip spit. All jokes aside chewing Tobacco is bad for you. I chew tobacco because i am in touch with my white trash, redneck roots. Like a man, i spit out the juice.  Joe will have a dip in for his entire show and swallow every bit of juice. I know several people who have had stomach, kidney and liver problems from swallowing their dip spit. So aside from swallowing jizzum Joe also ingests cancerous dip spit.",2,0.006211221218109131,0.9937887787818909
"let?s make sure that metcalf pisses clean at the combine first, dude looks like david boston?s son.",2,0.0023788809776306152,0.9976211190223694
pooping in a porta potty and it isn?t a million degrees. living the life of a king,2,0.004315495491027832,0.9956845045089722
"In the old days if you dialed the word 'niggers' (644-4377), a voice would read you back the number you were dialing from. I am literally not kidding. I'm not sure if it was intentional or a very strange coincidence.",2,0.0030275583267211914,0.9969724416732788
Charlie Munger recommends sitting on your ass.,2,0.056660473346710205,0.9433395266532898
i wan to give mesa an tramp stanp,2,0.006263256072998047,0.993736743927002
"You WILL get some backlash for this haha. I kind of agree with you, although I think reproduction through incest shouldn't be legal. Not sure how that would work, but it's not fair to the child who's going to probably have a whole lot of problems.",2,0.07790035009384155,0.9220996499061584
Making terror bombs,2,0.009081125259399414,0.9909188747406006
"Don't New Yorkers also say ""sanglidges"" or some fat greaseball shit instead of ""sandwich""?",2,0.0047029852867126465,0.9952970147132874
"My lesbo cousin said Tiger King is transphobic because they never explicitly state that Saff is FtM trans, what a dike",2,0.0017203092575073242,0.9982796907424927
"Yes but he?s spiritual broken and doesn?t believe in Republicans or conservative ideology anymore. He admits that meritocracy is a scam for rubes and genuinely respects the rights of queer people, POC, and our trans comrades. He?s too obstinate and stubborn to ever be socialist but I?ll be damned if I don?t try.",2,0.022242724895477295,0.9777572751045227
When the first Shrek came out I wasn?t allowed to watch it because the church we attended at the time claimed that Shrek was slang for doggystyle and that him and Donkey were gay for each other.,2,0.008613348007202148,0.9913866519927979
"We have tunnels. Some say splinter factions of the Viet Cong are still lurking, waiting to defend the motherland from the filthy capitalist invaders.",2,0.004518866539001465,0.9954811334609985
Off course they would be excited to see Tyler stomp a darkie,2,0.9822900891304016,0.01770991086959839
"That marital rape and DV, when not considered crimes in law, were making DV and rape by men ubiquitous, and DV and rape by women not even happening at all.",2,0.003985762596130371,0.9960142374038696
"Watching that singpost mailman throwing out letters makes me boil. I dont know why but im dam angry. His argument dont even make sense!! Edit: To the people that downvote me, i hope your letters get thrown away like the chinaman did to others.",2,0.00046825408935546875,0.9995317459106445
"Since money is made from rocks, aren't sugar daddies stoning their hoes?",2,0.007900834083557129,0.9920991659164429
We know just as much as you: Jackshit.,2,0.05887633562088013,0.9411236643791199
"Bergman, Correa, and Gurriel... Imagine being so cocky when you need to cheat to win lmao",2,0.07739377021789551,0.9226062297821045
"If you're Caucasian/Hispanic(not latino) don't even bother with Filipino ""flirting"" culture, these women swoon over foreigners without any standard whatsoever. Edit:Thanks for the clarification",2,0.19415879249572754,0.8058412075042725
And what of Jebus of the Jebusites?,2,0.006422936916351318,0.9935770630836487
white twink when someone talks good about lemonade be like,2,0.08568745851516724,0.9143125414848328
"This is bullcrap lol. If you can't handle PvP, there are carebear PvE servers for you.",2,0.0010842084884643555,0.9989157915115356
Mentally ill tranny has to settle for a Paki midget go figure,2,0.0003185272216796875,0.9996814727783203
"Scat is awesome.  I love scat.  Mel Torme, baby.",2,0.9998552799224854,0.00014472007751464844
He's a wanker.,2,0.00036787986755371094,0.9996321201324463
"you're a wuss. if you need karma to ask out a girl, that's pathetic lol",2,0.0005494952201843262,0.9994505047798157
They think we're all skinny so they bring in more FATT...hoe lee fu&lt;CLICK!&gt;,2,0.009160459041595459,0.9908395409584045
"Lol, seriously? I thought that those fanatics wanted everyone to be a virgin for jebus until they got married. Then again, they also hate gay people, even though we're not physically capable of creating potential abortions with each other.",2,0.005459487438201904,0.9945405125617981
Automod acting homosexual today tf,2,0.030672669410705566,0.9693273305892944
Homosexual Obsessive Compulsive Disorder. You have this obsessive compulsive fear that you're secretly gay.,2,0.008099913597106934,0.9919000864028931
Simp stands for: Sexy Insest Minion Porn.,2,0.956184983253479,0.043815016746520996
"After Brandy got blacked some 32 odd times, he absorbed some of their culture into himself the next time he and Brandy creates some nasty coitus",2,0.020184874534606934,0.9798151254653931
Ugly Cock Blockers,2,0.00028079748153686523,0.9997192025184631
No pain no gain dink face,2,0.9244354367256165,0.07556456327438354
Porch monkey!,2,0.9620640873908997,0.03793591260910034
boring. 10/10 would be gay,2,0.001135110855102539,0.9988648891448975
"Hokkaido. It?s in South County, close enough and it is a damn good Asian buffet.",2,0.9995315074920654,0.0004684925079345703
"It just shows how little control she has over her body. Most people may feel the urge to urinate in hot water, but we keep ourselves from actually doing it because we are decent people and not animals. And it shows her level of maturity judging by how she joked about it and tried to laugh it off because it?s ?a thing she does??when she gets in hot tubs.  It?s so gross. I agree with another poster that her friends should stop letting her get away with crap like this.",2,0.4588441252708435,0.5411558747291565
PapayaDreaming is paid out of pocket to write foot fetish material by a cohort of foot fetish Rioters in a secret society.,2,0.002741575241088867,0.9972584247589111
"Donald Trump is your President, and you're a turd in a sewer.",2,0.00041216611862182617,0.9995878338813782
